hts10,cty_code,usmca_share
0304825000,2010,0
0304831010,1220,0
0304831010,2010,0
0304831015,1220,0
0304831015,2010,0
0304831020,1220,0
0304831020,2010,0
0304831025,1220,0
0304831025,2010,0
0304831030,1220,0
0304831030,2010,0
0304831090,1220,0
0304831090,2010,0
0304835010,1220,1
0304835010,2010,0
0304835015,1220,0.2306130233
0304835015,2010,0
0304835020,1220,0.7720898707
0304835020,2010,0.4365871993
0304835025,1220,0.4866908884
0304835025,2010,0.4843447047
0304835030,1220,0
0304835030,2010,0
0304835090,1220,0
0304835090,2010,0
0304840000,1220,0
0304840000,2010,0
0304850000,1220,0
0304850000,2010,0
0304860000,1220,0
0304860000,2010,0
0304870000,1220,0.55159526
0304870000,2010,0.4668501845
0304880000,1220,0
0304880000,2010,1
0304891010,1220,0
0304891010,2010,0
0304891015,1220,0
0304891015,2010,0
0304891020,1220,0
0304891020,2010,0
0304891025,1220,0.6477923566
0304891025,2010,0
0304891030,1220,0
0304891030,2010,0
0304891035,1220,0
0304891035,2010,0
0304891090,1220,0
0304891090,2010,0.5771243953
0304895003,1220,0.4689468898
0304895003,2010,0
0304895006,1220,0.3943649883
0304895006,2010,0
0304895009,1220,0.4929542395
0304895009,2010,0
0304895015,1220,0.4315259672
0304895015,2010,0
0304895020,1220,0.3590736952
0304895020,2010,0
0304895025,1220,0.5903245887
0304895025,2010,0
0304895030,1220,0.5443172907
0304895030,2010,0
0304895035,1220,0.4831628711
0304895035,2010,0
0304895040,1220,0.2576923077
0304895040,2010,0
0304895045,1220,0
0304895045,2010,0
0304895050,1220,0
0304895050,2010,0
0304895055,1220,0
0304895055,2010,0
0304895060,1220,0
0304895060,2010,0
0304895091,1220,0.3680488951
0304895091,2010,0.5110841813
0304911000,1220,0
0304911000,2010,0
0304919000,1220,0
0304919000,2010,0
0304921000,1220,0
0304921000,2010,0
0304929000,1220,0
0304929000,2010,0
0304931005,1220,0
0304931005,2010,0
0304931010,1220,0
0304931010,2010,0
0304931090,1220,0
0304931090,2010,0
0304939000,1220,0
0304939000,2010,0
0304941005,1220,0
0304941005,2010,0
0304941010,1220,0
0304941010,2010,0
0304941090,1220,0
0304941090,2010,0
0304949000,1220,0
0304949000,2010,0
0304951005,1220,0
0304951005,2010,0
0304951010,1220,0
0304951010,2010,0
0304951015,1220,0
0304951015,2010,0
0304951020,1220,0
0304951020,2010,0
0304951025,1220,0.7291705493
0304951025,2010,0
0304951030,1220,0
0304951030,2010,0
0304951090,1220,0
0304951090,2010,0
0304959000,1220,1
0304959000,2010,0
0304960000,1220,0
0304960000,2010,1
0304970000,1220,0
0304970000,2010,1
0304991104,1220,0
0304991104,2010,0
0304991109,1220,0.1521767307
0304991109,2010,0
0304991150,1220,0
0304991150,2010,0
0304991160,1220,0
0304991160,2010,0
0304991170,1220,0
0304991170,2010,0
0304991182,1220,0
0304991182,2010,0
0304991183,1220,0.3946198069
0304991183,2010,0
0304991184,1220,0
0304991184,2010,0
0304991190,1220,0
0304991190,2010,0.3222222222
0304991194,1220,0.6139290288
0304991194,2010,0
0304999190,1220,1
0304999190,2010,1
